Z_real,Z_imag,Spectrum_Number,Frequency_Hz
4.599962e+01,-1.586020e-03,2.000000e+00,1.389495e-02
4.599971e+01,-1.199175e-03,2.000000e+00,1.000000e-02
1.030284e+01,-1.131542e+00,3.000000e+00,1.000000e+05
1.041199e+01,-1.489852e+00,3.000000e+00,7.196857e+04
1.056458e+01,-1.958396e+00,3.000000e+00,5.179475e+04
1.078036e+01,-2.568338e+00,3.000000e+00,3.727594e+04
1.108909e+01,-3.357168e+00,3.000000e+00,2.682696e+04
1.153567e+01,-4.367517e+00,3.000000e+00,1.930698e+04
1.218715e+01,-5.642907e+00,3.000000e+00,1.389495e+04
1.314097e+01,-7.217619e+00,3.000000e+00,1.000000e+04
1.453128e+01,-9.096747e+00,3.000000e+00,7.196857e+03
1.652485e+01,-1.122331e+01,3.000000e+00,5.179475e+03
1.929096e+01,-1.343663e+01,3.000000e+00,3.727594e+03
2.292911e+01,-1.544544e+01,3.000000e+00,2.682696e+03
2.736372e+01,-1.686328e+01,3.000000e+00,1.930698e+03
3.227375e+01,-1.734175e+01,3.000000e+00,1.389495e+03
3.715428e+01,-1.674847e+01,3.000000e+00,1.000000e+03
4.151262e+01,-1.524646e+01,3.000000e+00,7.196857e+02
4.505464e+01,-1.319725e+01,3.000000e+00,5.179475e+02
4.772897e+01,-1.098161e+01,3.000000e+00,3.727594e+02
4.964763e+01,-8.876581e+00,3.000000e+00,2.682696e+02
5.098233e+01,-7.029558e+00,3.000000e+00,1.930698e+02
5.189709e+01,-5.488718e+00,3.000000e+00,1.389495e+02
5.252193e+01,-4.244396e+00,3.000000e+00,1.000000e+02
5.295057e+01,-3.260538e+00,3.000000e+00,7.196857e+01
5.324723e+01,-2.493360e+00,3.000000e+00,5.179475e+01
5.345483e+01,-1.900662e+00,3.000000e+00,3.727594e+01
5.360184e+01,-1.445629e+00,3.000000e+00,2.682696e+01
5.370710e+01,-1.097791e+00,3.000000e+00,1.930698e+01
5.378326e+01,-8.326956e-01,3.000000e+00,1.389495e+01
5.383885e+01,-6.310919e-01,3.000000e+00,1.000000e+01
5.387972e+01,-4.780079e-01,3.000000e+00,7.196857e+00
5.390996e+01,-3.618951e-01,3.000000e+00,5.179475e+00
5.393243e+01,-2.738963e-01,3.000000e+00,3.727594e+00
5.394921e+01,-2.072440e-01,3.000000e+00,2.682696e+00
5.396177e+01,-1.567824e-01,3.000000e+00,1.930698e+00
5.397119e+01,-1.185912e-01,3.000000e+00,1.389495e+00
5.397827e+01,-8.969383e-02,3.000000e+00,1.000000e+00
5.398360e+01,-6.783260e-02,3.000000e+00,7.196857e-01
5.398762e+01,-5.129663e-02,3.000000e+00,5.179475e-01
5.399065e+01,-3.879000e-02,3.000000e+00,3.727594e-01
5.399294e+01,-2.933163e-02,3.000000e+00,2.682696e-01
5.399466e+01,-2.217898e-02,3.000000e+00,1.930698e-01
5.399597e+01,-1.677022e-02,3.000000e+00,1.389495e-01
5.399695e+01,-1.268030e-02,3.000000e+00,1.000000e-01
5.399770e+01,-9.587728e-03,3.000000e+00,7.196857e-02
5.399826e+01,-7.249336e-03,3.000000e+00,5.179475e-02
5.399868e+01,-5.481230e-03,3.000000e+00,3.727594e-02
5.399900e+01,-4.144344e-03,3.000000e+00,2.682696e-02
5.399925e+01,-3.133517e-03,3.000000e+00,1.930698e-02
5.399943e+01,-2.369229e-03,3.000000e+00,1.389495e-02
5.399957e+01,-1.791353e-03,3.000000e+00,1.000000e-02
1.029867e+01,-1.133925e+00,4.000000e+00,1.000000e+05
1.040479e+01,-1.494113e+00,4.000000e+00,7.196857e+04
1.055221e+01,-1.966058e+00,4.000000e+00,5.179475e+04
1.075924e+01,-2.582202e+00,4.000000e+00,3.727594e+04
1.105340e+01,-3.382414e+00,4.000000e+00,2.682696e+04
1.147620e+01,-4.413760e+00,4.000000e+00,1.930698e+04
1.209012e+01,-5.727950e+00,4.000000e+00,1.389495e+04
1.298769e+01,-7.374002e+00,4.000000e+00,1.000000e+04
1.430101e+01,-9.382196e+00,4.000000e+00,7.196857e+03
1.620594e+01,-1.173456e+01,4.000000e+00,5.179475e+03
1.890755e+01,-1.432033e+01,4.000000e+00,3.727594e+03
2.258601e+01,-1.688863e+01,4.000000e+00,2.682696e+03
2.729092e+01,-1.903868e+01,4.000000e+00,1.930698e+03
3.281963e+01,-2.030693e+01,4.000000e+00,1.389495e+03
3.868543e+01,-2.036155e+01,4.000000e+00,1.000000e+03
4.426524e+01,-1.918725e+01,4.000000e+00,7.196857e+02
4.905243e+01,-1.709456e+01,4.000000e+00,5.179475e+02
5.281919e+01,-1.454444e+01,4.000000e+00,3.727594e+02
5.559795e+01,-1.194815e+01,4.000000e+00,2.682696e+02
5.756259e+01,-9.569912e+00,4.000000e+00,1.930698e+02
5.891885e+01,-7.530737e+00,4.000000e+00,1.389495e+02
5.984606e+01,-5.854588e+00,4.000000e+00,1.000000e+02
6.048004e+01,-4.513921e+00,4.000000e+00,7.196857e+01
6.091632e+01,-3.460532e+00,4.000000e+00,5.179475e+01
6.121957e+01,-2.642561e+00,4.000000e+00,3.727594e+01
6.143280e+01,-2.012402e+00,4.000000e+00,2.682696e+01
6.158448e+01,-1.529542e+00,4.000000e+00,1.930698e+01
6.169356e+01,-1.160927e+00,4.000000e+00,1.389495e+01
6.177277e+01,-8.802637e-01,4.000000e+00,1.000000e+01
6.183077e+01,-6.669650e-01,4.000000e+00,7.196857e+00
6.187353e+01,-5.050798e-01,4.000000e+00,5.179475e+00
6.190523e+01,-3.823353e-01,4.000000e+00,3.727594e+00
6.192883e+01,-2.893348e-01,4.000000e+00,2.682696e+00
6.194647e+01,-2.189078e-01,4.000000e+00,1.930698e+00
6.195969e+01,-1.655962e-01,4.000000e+00,1.389495e+00
6.196961e+01,-1.252523e-01,4.000000e+00,1.000000e+00
6.197708e+01,-9.472856e-02,4.000000e+00,7.196857e-01
6.198270e+01,-7.163837e-02,4.000000e+00,5.179475e-01
6.198693e+01,-5.417359e-02,4.000000e+00,3.727594e-01
6.199013e+01,-4.096493e-02,4.000000e+00,2.682696e-01
6.199254e+01,-3.097589e-02,4.000000e+00,1.930698e-01
6.199437e+01,-2.342209e-02,4.000000e+00,1.389495e-01
6.199574e+01,-1.771006e-02,4.000000e+00,1.000000e-01
6.199678e+01,-1.339087e-02,4.000000e+00,7.196857e-02
6.199757e+01,-1.012496e-02,4.000000e+00,5.179475e-02
6.199816e+01,-7.655519e-03,4.000000e+00,3.727594e-02
6.199861e+01,-5.788334e-03,4.000000e+00,2.682696e-02
6.199895e+01,-4.376538e-03,4.000000e+00,1.930698e-02
6.199921e+01,-3.309073e-03,4.000000e+00,1.389495e-02
6.199940e+01,-2.501964e-03,4.000000e+00,1.000000e-02
1.029560e+01,-1.135654e+00,5.000000e+00,1.000000e+05
1.039946e+01,-1.497197e+00,5.000000e+00,7.196857e+04
1.054304e+01,-1.971587e+00,5.000000e+00,5.179475e+04
1.074353e+01,-2.592171e+00,5.000000e+00,3.727594e+04
1.102668e+01,-3.400503e+00,5.000000e+00,2.682696e+04
1.143129e+01,-4.446790e+00,5.000000e+00,1.930698e+04
1.201591e+01,-5.788581e+00,5.000000e+00,1.389495e+04
1.286813e+01,-7.485577e+00,5.000000e+00,1.000000e+04
1.411577e+01,-9.586936e+00,5.000000e+00,7.196857e+03
1.593616e+01,-1.210581e+01,5.000000e+00,5.179475e+03
1.855298e+01,-1.497644e+01,5.000000e+00,3.727594e+03
2.220036e+01,-1.799777e+01,5.000000e+00,2.682696e+03
2.703100e+01,-2.079191e+01,5.000000e+00,1.930698e+03
3.297468e+01,-2.283959e+01,5.000000e+00,1.389495e+03
3.963016e+01,-2.364788e+01,5.000000e+00,1.000000e+03
4.632549e+01,-2.299469e+01,5.000000e+00,7.196857e+02
5.237222e+01,-2.106073e+01,5.000000e+00,5.179475e+02
5.733272e+01,-1.832117e+01,5.000000e+00,3.727594e+02
6.110411e+01,-1.530299e+01,5.000000e+00,2.682696e+02
